[2026-06-02 19:51:07] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 19:51:52] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: page_1
[2026-06-02 19:51:59] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: page_0
[2026-06-02 20:01:43] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 20:01:45] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 20:08:19] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 20:08:21] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 20:13:51] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 20:13:52] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 20:19:52] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 20:19:57] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 20:23:37] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 20:23:39] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 20:44:16] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 20:44:17] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 20:44:18] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 21:10:42] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
[2026-06-02 21:10:44] User Артëм (@Supp0rt_Officer, id=1946853881): Нажал кнопку: day_today
[2026-06-02 21:19:29] User Артëм (@Supp0rt_Officer, id=1946853881): Сообщение: 🎬 Кино в Кемерово
